dataset,f1,f2,vae,knn,k,diff,absdiff
cardiotocography,10,21,0.528125432962093,0.9804646007499284,1.0,0.45233916778783534,0.45233916778783534
cardiotocography,3,27,0.5725765482827622,1.0,1.0,0.42742345171723783,0.42742345171723783
cardiotocography,23,27,0.5965224218373392,0.971920750034508,1.0,0.3753983281971688,0.3753983281971688
ecoli,6,7,0.6079494128376693,0.7524841915233965,27.0,0.14453477868572717,0.14453477868572717
ecoli,3,4,0.9756097561,1.0,1.0,0.024390243899999997,0.024390243899999997
ecoli,3,5,0.5691056910560524,0.93902439025,1.0,0.3699186991939476,0.3699186991939476
ecoli,4,5,0.5578139114728997,0.96341463415,1.0,0.40560072267710023,0.40560072267710023
ecoli,1,6,0.7023486901476513,0.8152664859975158,27.0,0.1129177958498645,0.1129177958498645
ecoli,1,5,0.605239385721906,0.6526648600028455,27.0,0.04742547428093946,0.04742547428093946
ecoli,3,6,0.7515808491698284,0.7958446251374887,1.0,0.04426377596766029,0.04426377596766029
ecoli,2,3,0.6056910569133243,0.9236675700173894,1.0,0.31797651310406516,0.31797651310406516
ecoli,2,5,0.6382113821149503,0.6779584462728094,27.0,0.03974706415785911,0.03974706415785911
ecoli,1,4,0.6074977416669828,0.864498645003794,1.0,0.25700090333681125,0.25700090333681125
gisette,55,2003,0.5342836734683266,0.9405173469330816,1.0,0.40623367346475503,0.40623367346475503
gisette,3015,3171,0.927089795945347,0.9713530612102244,1.0,0.04426326526487734,0.04426326526487734
gisette,301,464,0.5655387754925815,0.9581122449049694,1.0,0.3925734694123879,0.3925734694123879
gisette,1088,3564,0.5268836734673266,0.9742744898234388,1.0,0.4473908163561122,0.4473908163561122
gisette,2237,4343,0.5180010204093368,0.9881459183606532,5.0,0.4701448979513164,0.4701448979513164
gisette,1495,2679,0.5228663265341021,0.9349142857000714,1.0,0.41204795916596926,0.41204795916596926
gisette,1086,2562,0.5121204081637347,0.9341877550874592,1.0,0.4220673469237245,0.4220673469237245
gisette,394,3083,0.8082979591866123,0.8932357142865714,1.0,0.08493775509995916,0.08493775509995916
gisette,107,2980,0.7340153061252656,0.9475663265185306,1.0,0.213551020393265,0.213551020393265
gisette,593,4627,0.7864438775416936,0.9286377550883878,1.0,0.1421938775466941,0.1421938775466941
glass,1,5,0.8097826086949999,0.98152173913,1.0,0.1717391304350001,0.1717391304350001
glass,1,8,0.9902173913025,0.954347826085,1.0,-0.035869565217499955,0.035869565217499955
glass,1,3,0.8847826086949997,0.9663043478225,5.0,0.08152173912750027,0.08152173912750027
glass,8,10,0.5586956521775,0.626086956525,11.0,0.06739130434750007,0.06739130434750007
glass,3,5,0.56195652174,0.7130434782599999,5.0,0.15108695651999993,0.15108695651999993
glass,7,9,0.6717391304349999,0.7315217391425,1.0,0.05978260870750007,0.05978260870750007
glass,6,8,0.6989130434699999,0.82826086957,1.0,0.12934782610000006,0.12934782610000006
glass,2,4,0.7119565217349999,0.8847826086975,5.0,0.17282608696250013,0.17282608696250013
glass,3,6,0.5728260869599999,0.7043478260875,11.0,0.1315217391275001,0.1315217391275001
glass,1,4,0.7945652173775002,0.9706521739075,3.0,0.17608695652999984,0.17608695652999984
haberman,1,3,0.6522875817066014,0.7222222222264706,1.0,0.0699346405198692,0.0699346405198692
haberman,2,3,0.5784313725531373,0.752287581711634,1.0,0.17385620915849676,0.17385620915849676
haberman,1,2,0.5849673202654901,0.6261437908647712,11.0,0.04117647059928109,0.04117647059928109
ionosphere,19,27,0.742666666674,0.834222222232,11.0,0.09155555555799999,0.09155555555799999
ionosphere,26,33,0.671999999994,0.648000000004,1.0,-0.02399999998999991,0.02399999998999991
ionosphere,5,15,0.635111111112,0.6208888888960001,1.0,-0.014222222215999891,0.014222222215999891
ionosphere,12,25,0.61288888888,0.823555555548,11.0,0.21066666666799994,0.21066666666799994
ionosphere,25,27,0.7395555555579999,0.8217777777799999,5.0,0.08222222222200004,0.08222222222200004
ionosphere,7,12,0.768000000004,0.872000000002,27.0,0.10399999999799991,0.10399999999799991
ionosphere,7,10,0.851111111114,0.8337777777840001,3.0,-0.017333333329999867,0.017333333329999867
ionosphere,13,24,0.686222222232,0.7893333333280002,11.0,0.10311111109600013,0.10311111109600013
ionosphere,20,28,0.6791111111160001,0.632000000008,1.0,-0.04711111110800004,0.04711111110800004
ionosphere,18,33,0.6217777777639999,0.6835555555639999,11.0,0.061777777800000044,0.061777777800000044
iris,2,3,0.9825,0.94,1.0,-0.04250000000000009,0.04250000000000009
iris,2,4,0.975,0.975,1.0,0.0,0.0
iris,3,4,0.575,1.0,27.0,0.42500000000000004,0.42500000000000004
iris,1,3,0.9075,1.0,1.0,0.09250000000000003,0.09250000000000003
iris,1,2,0.7074999999999999,0.6874999999999999,27.0,-0.020000000000000018,0.020000000000000018
iris,1,4,0.96,0.9925,3.0,0.032500000000000084,0.032500000000000084
isolet,59,560,0.5294360269399933,0.559293771044234,27.0,0.02985774410424069,0.02985774410424069
isolet,216,432,0.5167104377119057,0.5152575757553334,1.0,-0.0014528619565723488,0.0014528619565723488
isolet,128,341,0.5178838383806464,0.5154537037034833,1.0,-0.0024301346771631316,0.0024301346771631316
isolet,36,422,0.5905690235678652,0.6232466329831045,1.0,0.03267760941523923,0.03267760941523923
isolet,349,404,0.5547962962936277,0.6124444444498637,1.0,0.05764814815623598,0.05764814815623598
isolet,23,153,0.5283829966323518,0.520945286192234,27.0,-0.007437710440117762,0.007437710440117762
isolet,65,349,0.5376910774396598,0.5785614477980371,1.0,0.04087037035837726,0.04087037035837726
isolet,13,162,0.5102794612827862,0.5166355218884984,27.0,0.006356060605712144,0.006356060605712144
isolet,191,553,0.5262760942757543,0.5316153198634982,11.0,0.005339225587743912,0.005339225587743912
isolet,359,374,0.5360530303041515,0.542228956229468,1.0,0.006175925925316461,0.006175925925316461
letter-recognition,176,496,0.5112012235456217,0.5194155092610085,27.0,0.008214285715386849,0.008214285715386849
