dataset,f1,f2,vae,knn,k,diff,absdiff
glass,4,9,0.97826086955,0.89130434785,3.0,-0.08695652170000001,0.08695652170000001
glass,2,8,0.95652173915,0.95652173915,1.0,0.0,0.0
glass,7,10,0.7608695651999999,0.95652173915,27.0,0.19565217395000012,0.19565217395000012
glass,7,9,1.0,0.9347826087,1.0,-0.06521739130000004,0.06521739130000004
glass,5,10,0.95652173915,1.0,11.0,0.04347826084999995,0.04347826084999995
glass,2,9,0.8260869565,0.89130434785,3.0,0.06521739135000004,0.06521739135000004
glass,5,9,0.91304347825,0.97826086955,5.0,0.06521739130000004,0.06521739130000004
glass,9,10,0.89130434785,0.8260869565,1.0,-0.06521739135000004,0.06521739135000004
glass,4,10,0.91304347825,0.7608695651999999,1.0,-0.15217391305000005,0.15217391305000005
glass,2,4,0.95652173915,0.95652173915,1.0,0.0,0.0
glass,8,10,1.0,0.7608695651999999,1.0,-0.23913043480000007,0.23913043480000007
glass,4,5,0.97826086955,1.0,1.0,0.021739130449999977,0.021739130449999977
glass,6,8,0.78260869565,0.95652173915,1.0,0.17391304350000003,0.17391304350000003
glass,2,7,0.8043478261,0.95652173915,5.0,0.15217391305000005,0.15217391305000005
glass,5,6,0.95652173915,1.0,1.0,0.04347826084999995,0.04347826084999995
haberman,2,3,0.822222222225,1.0,1.0,0.17777777777500003,0.17777777777500003
haberman,1,3,0.8777777778,0.99444444445,27.0,0.11666666665000003,0.11666666665000003
haberman,1,2,0.6444444444249999,0.677777777775,3.0,0.033333333350000105,0.033333333350000105
ionosphere,16,28,0.6611111111,0.966666666675,3.0,0.305555555575,0.305555555575
ionosphere,7,23,0.755555555575,0.94444444445,1.0,0.188888888875,0.188888888875
ionosphere,13,31,0.922222222225,0.8999999999749999,3.0,-0.022222222250000145,0.022222222250000145
ionosphere,25,27,0.8500000000000001,0.90555555555,1.0,0.05555555554999991,0.05555555554999991
ionosphere,2,33,0.9777777778,1.0,1.0,0.02222222220000003,0.02222222220000003
ionosphere,23,27,0.98333333335,0.98333333335,1.0,0.0,0.0
ionosphere,1,23,0.638888888875,0.9611111111,5.0,0.3222222222250001,0.3222222222250001
ionosphere,1,28,0.694444444425,0.894444444425,27.0,0.20000000000000007,0.20000000000000007
ionosphere,1,25,0.6888888889,0.74444444445,11.0,0.055555555550000024,0.055555555550000024
ionosphere,11,28,0.81666666665,0.99444444445,11.0,0.17777777780000004,0.17777777780000004
